,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,CabinOrientation,Total_spent
20,Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,0,2,Babor,1092.0
21,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,0,6,Estribor,0.0
22,Earth,1,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,0,6,Estribor,0.0
23,Earth,1,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,0,6,Estribor,0.0
24,Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,1,6,Estribor,0.0
25,Earth,1,PSO J318.5-22,1.0,0,0.0,0.0,0.0,0.0,0.0,0,6,Estribor,0.0
26,Earth,0,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,0,6,Estribor,0.0
27,Mars,0,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,0,1,Babor,1051.0
28,Europa,1,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
29,Earth,0,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,0,1,Estribor,1223.0
30,Europa,0,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,0,1,Babor,7861.0
31,Mars,0,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,0,1,Babor,1309.0
32,Earth,0,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,0,1,Estribor,1821.0
33,Mars,0,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,1,3,Babor,2854.0
34,Mars,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
35,Mars,0,TRAPPIST-1e,20.0,0,0.0,0.0,1750.0,990.0,0.0,1,3,Babor,2740.0
36,Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
37,Mars,0,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,0,1,Babor,2699.0
38,Earth,0,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,0,1,Estribor,961.0
39,Earth,0,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,0,1,Estribor,3355.0
40,Earth,1,55 Cancri e,30.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Babor,0.0
41,Earth,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
42,Europa,0,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,0,1,Babor,3575.0
43,Earth,1,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,0,3,Babor,0.0
44,Earth,1,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
45,Earth,1,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
46,Mars,0,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,0,2,Babor,1214.0
47,Mars,1,Destino desconocido,19.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
48,Earth,0,55 Cancri e,35.0,0,790.0,0.0,0.0,0.0,0.0,0,1,Estribor,790.0
49,Earth,0,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,0,1,Estribor,1618.0
50,Earth,0,TRAPPIST-1e,28.82793046746535,0,4.0,0.0,2.0,4683.0,0.0,0,1,Estribor,4689.0
51,Earth,0,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,1,1,Estribor,1939.0
52,Europa,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
53,Europa,1,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
54,Europa,0,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,1,3,Estribor,4547.0
55,Earth,1,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
56,Earth,0,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,0,1,Estribor,2667.0
57,Earth,0,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,0,1,Estribor,634.0
58,Mars,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
59,Origen desconocido,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
60,Earth,0,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,0,1,Babor,811.0
61,Earth,1,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
62,Earth,0,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,1,3,Estribor,705.0
63,Earth,0,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,0,3,Estribor,2007.0
64,Mars,0,TRAPPIST-1e,28.82793046746535,0,793.0,0.0,2.0,253.0,0.0,0,1,Estribor,1048.0
65,Earth,0,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,1,1,Estribor,902.0
66,Earth,0,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,0,1,Babor,922.0
67,Earth,0,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,0,1,Babor,2233.0
68,Earth,0,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,0,1,Estribor,1064.0
69,Mars,0,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,0,1,Babor,879.0
70,Europa,0,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,1,1,Estribor,8904.0
71,Mars,0,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,1,1,Estribor,1165.0
72,Mars,0,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,1,1,Babor,1309.0
73,Europa,0,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0,0,1,Estribor,15815.0
74,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
75,Mars,0,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,0,3,Babor,7406.0
76,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
77,Mars,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
78,Earth,0,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,1,1,Estribor,705.0
79,Europa,1,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
80,Earth,0,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0,0,1,Babor,1362.0
81,Mars,1,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
82,Earth,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
83,Earth,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
84,Earth,0,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0,0,2,Estribor,917.0
85,Earth,0,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0,0,3,Babor,705.0
86,Earth,1,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
87,Earth,1,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
88,Europa,0,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,0,1,Estribor,1848.0
89,Earth,0,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,0,2,Babor,893.0
90,Earth,0,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,1,2,Babor,3855.0
91,Earth,0,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,0,2,Babor,1301.0
92,Earth,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
93,Mars,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Desconocido,0.0
94,Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,0,1,Estribor,921.0
95,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0,1,3,Estribor,17.0
96,Earth,1,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
97,Earth,1,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,0,3,Estribor,0.0
98,Earth,0,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,0,1,Babor,703.0
99,Mars,0,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,0,1,Estribor,1765.0
100,Earth,1,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,0,3,Estribor,0.0
101,Earth,0,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,0,3,Estribor,888.0
102,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
103,Europa,0,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,0,4,Desconocido,5109.0
104,Europa,0,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,0,4,Babor,2018.0
105,Europa,0,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,1,4,Babor,15940.0
106,Europa,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,4,Babor,0.0
107,Europa,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
108,Europa,0,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,1,1,Estribor,2654.0
109,Earth,0,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,1,1,Babor,804.0
110,Earth,0,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,0,1,Estribor,907.0
111,Mars,0,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
112,Europa,0,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,1,1,Babor,2640.0
113,Origen desconocido,0,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0,0,2,Babor,9307.0
114,Europa,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
115,Mars,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
116,Earth,0,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,0,1,Estribor,773.0
117,Earth,0,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,0,1,Babor,702.0
118,Mars,1,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
119,Mars,0,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,0,1,Estribor,1022.0
120,Mars,0,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,0,2,Estribor,3014.0
121,Mars,0,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,0,2,Estribor,2109.0
122,Earth,1,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
123,Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
124,Mars,0,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,0,2,Estribor,2738.0
125,Earth,0,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,1,1,Babor,744.0
126,Earth,0,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,0,1,Estribor,721.0
127,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
128,Earth,0,Destino desconocido,34.0,0,0.0,22.0,0.0,564.0,207.0,0,2,Babor,793.0
129,Europa,1,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
130,Earth,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
131,Earth,0,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,0,2,Babor,902.0
132,Mars,0,TRAPPIST-1e,31.0,0,0.0,0.0,97.0,0.0,0.0,0,1,Babor,97.0
133,Earth,0,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,1,1,Estribor,630.0
134,Earth,0,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
135,Earth,1,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
136,Mars,0,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0,0,1,Babor,1158.0
137,Earth,1,55 Cancri e,28.82793046746535,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
138,Earth,1,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Babor,0.0
139,Earth,0,Destino desconocido,41.0,0,0.0,0.0,0.0,0.0,607.0,0,1,Babor,607.0
140,Earth,0,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,0,1,Babor,4180.0
141,Europa,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
142,Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
143,Earth,0,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,0.0,135.0,1,2,Estribor,1873.0
144,Earth,1,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,0,2,Estribor,0.0
145,Mars,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
146,Mars,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
147,Mars,0,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,0,2,Estribor,1572.0
148,Earth,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Babor,0.0
149,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,0,1,Estribor,788.0
150,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
151,Earth,1,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
152,Earth,0,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,1,1,Estribor,990.0
153,Earth,0,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,0,1,Babor,593.0
154,Europa,0,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,0,1,Estribor,27428.0
155,Mars,0,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0,0,1,Estribor,3722.0
156,Earth,0,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0,1,3,Babor,906.0
157,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3,Babor,0.0
158,Earth,0,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
159,Earth,0,TRAPPIST-1e,20.0,0,0.0,0.0,3.0,299.0,92.0,0,1,Babor,394.0
160,Europa,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
161,Earth,0,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0,1,1,Estribor,821.0
162,Earth,0,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0,0,1,Babor,1018.0
163,Earth,1,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
164,Earth,0,55 Cancri e,49.0,0,84.0,3.0,401.0,202.0,98.0,0,1,Babor,788.0
165,Earth,1,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
166,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
167,Earth,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,0,3,Babor,0.0
168,Earth,0,TRAPPIST-1e,39.0,0,0.0,0.0,10.0,898.0,0.0,0,3,Babor,908.0
169,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
170,Mars,0,TRAPPIST-1e,23.0,0,0.0,0.0,8.0,1072.0,0.0,0,3,Babor,1080.0
171,Mars,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
172,Mars,0,TRAPPIST-1e,39.0,0,406.0,0.0,867.0,0.0,0.0,1,1,Babor,1273.0
173,Mars,0,PSO J318.5-22,25.0,0,1052.0,0.0,719.0,0.0,7.0,0,1,Babor,1778.0
174,Europa,0,TRAPPIST-1e,36.0,0,0.0,972.0,0.0,795.0,575.0,0,1,Babor,2342.0
175,Earth,0,PSO J318.5-22,52.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
176,Earth,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
177,Earth,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
178,Europa,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
179,Europa,1,TRAPPIST-1e,47.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
180,Europa,1,55 Cancri e,45.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
181,Europa,0,55 Cancri e,28.82793046746535,0,0.0,2433.0,0.0,878.0,443.0,1,2,Babor,3754.0
182,Europa,1,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
183,Earth,0,TRAPPIST-1e,29.0,0,0.0,2.0,66.0,0.0,705.0,0,1,Estribor,773.0
184,Europa,0,55 Cancri e,28.82793046746535,0,2.0,1720.0,12.0,1125.0,122.0,1,1,Estribor,2981.0
185,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Babor,0.0
186,Origen desconocido,1,55 Cancri e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
187,Mars,0,TRAPPIST-1e,29.0,0,902.0,1.0,137.0,0.0,0.0,1,3,Babor,1040.0
188,Mars,1,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
189,Mars,0,TRAPPIST-1e,17.0,0,848.0,0.0,307.0,182.0,0.0,0,3,Babor,1337.0
190,Earth,0,TRAPPIST-1e,13.0,0,192.0,0.0,0.0,51.0,739.0,0,2,Babor,982.0
191,Earth,0,TRAPPIST-1e,35.0,0,147.0,188.0,0.0,10.0,387.0,0,2,Babor,732.0
192,Earth,0,TRAPPIST-1e,21.0,0,367.0,281.0,0.0,0.0,146.0,0,1,Babor,794.0
193,Earth,0,55 Cancri e,21.0,0,0.0,56.0,0.0,0.0,1918.0,0,1,Estribor,1974.0
194,Earth,0,TRAPPIST-1e,38.0,0,1517.0,0.0,0.0,27.0,0.0,0,1,Babor,1544.0
195,Earth,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
196,Earth,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,7,Babor,0.0
197,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,Babor,0.0
198,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,0,7,Babor,0.0
199,Earth,0,TRAPPIST-1e,25.0,0,122.0,84.0,0.0,0.0,0.0,0,7,Babor,206.0
200,Earth,0,TRAPPIST-1e,16.0,0,0.0,3.0,0.0,0.0,1099.0,0,7,Babor,1102.0
201,Earth,0,55 Cancri e,1.0,0,0.0,0.0,0.0,0.0,0.0,0,7,Babor,0.0
202,Earth,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,7,Babor,0.0
203,Mars,0,55 Cancri e,21.0,0,2237.0,0.0,119.0,0.0,0.0,0,7,Estribor,2356.0
204,Mars,0,TRAPPIST-1e,23.0,0,1215.0,80.0,1.0,2.0,0.0,0,7,Estribor,1298.0
205,Mars,0,TRAPPIST-1e,33.0,0,1933.0,12.0,188.0,1.0,0.0,0,7,Estribor,2134.0
206,Mars,1,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0,1,7,Estribor,0.0
207,Mars,0,TRAPPIST-1e,41.0,0,1230.0,0.0,301.0,43.0,1023.0,0,7,Estribor,2597.0
208,Mars,0,TRAPPIST-1e,16.0,0,915.0,0.0,221.0,234.0,0.0,0,7,Estribor,1370.0
209,Mars,1,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,0,7,Estribor,0.0
210,Mars,0,TRAPPIST-1e,20.0,0,1406.0,0.0,0.0,11.0,0.0,0,3,Estribor,1417.0
211,Mars,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
212,Mars,1,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Estribor,0.0
213,Earth,0,TRAPPIST-1e,21.0,0,0.0,2.0,665.0,0.0,9.0,0,1,Estribor,676.0
214,Mars,0,TRAPPIST-1e,32.0,1,181.0,0.0,5.0,1634.0,0.0,0,1,Estribor,1820.0
215,Earth,1,PSO J318.5-22,58.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
216,Earth,0,TRAPPIST-1e,24.0,0,4.0,7.0,0.0,713.0,79.0,0,1,Estribor,803.0
217,Mars,0,TRAPPIST-1e,30.0,0,85.0,0.0,1.0,1720.0,0.0,0,1,Estribor,1806.0
218,Earth,1,PSO J318.5-22,27.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
219,Mars,0,TRAPPIST-1e,32.0,0,56.0,0.0,256.0,1438.0,0.0,0,1,Estribor,1750.0
220,Earth,0,TRAPPIST-1e,43.0,0,0.0,888.0,0.0,0.0,0.0,0,1,Babor,888.0
221,Europa,1,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
222,Mars,0,TRAPPIST-1e,37.0,0,637.0,0.0,0.0,92.0,319.0,0,1,Desconocido,1048.0
223,Mars,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
224,Europa,0,55 Cancri e,33.0,0,0.0,1249.0,0.0,4812.0,1116.0,0,1,Babor,7177.0
225,Origen desconocido,0,TRAPPIST-1e,18.0,0,313.0,1.0,691.0,283.0,0.0,0,1,Estribor,1288.0
226,Earth,1,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
227,Mars,1,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Desconocido,0.0
228,Mars,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
229,Europa,0,55 Cancri e,46.0,0,0.0,3571.0,0.0,0.0,7.0,1,2,Babor,3578.0
230,Europa,0,TRAPPIST-1e,33.0,0,0.0,86.0,796.0,584.0,10912.0,0,2,Babor,12378.0
231,Mars,0,TRAPPIST-1e,21.0,0,2947.0,0.0,287.0,27.0,0.0,0,1,Babor,3261.0
232,Europa,0,TRAPPIST-1e,33.0,0,0.0,1.0,0.0,8620.0,1063.0,0,1,Estribor,9684.0
233,Earth,1,PSO J318.5-22,47.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Estribor,0.0
234,Origen desconocido,1,55 Cancri e,54.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
235,Earth,0,TRAPPIST-1e,30.0,0,335.0,695.0,541.0,0.0,0.0,0,1,Babor,1571.0
236,Earth,0,TRAPPIST-1e,29.0,0,272.0,615.0,0.0,0.0,1.0,0,1,Babor,888.0
237,Earth,0,TRAPPIST-1e,21.0,0,702.0,172.0,408.0,2.0,6.0,1,1,Babor,1290.0
238,Europa,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Estribor,0.0
